"日期","收市","開市","高","低","成交量","升跌（%）"
"2003年1月17日","100.890","101.030","101.100","100.620","0.60K","-0.23%"
"2003年1月16日","101.120","101.480","101.620","100.950","0.64K","-0.56%"
"2003年1月15日","101.690","101.750","102.030","101.370","0.70K","0.16%"
"2003年1月14日","101.530","101.700","101.710","101.300","0.52K","-0.29%"
"2003年1月13日","101.830","101.710","102.000","101.650","0.48K","0.27%"
"2003年1月10日","101.560","102.150","102.230","101.550","1.00K","-0.71%"
"2003年1月9日","102.290","101.910","102.550","101.950","0.72K","0.05%"
"2003年1月8日","102.240","102.850","103.340","101.820","1.04K","-0.68%"
"2003年1月7日","102.940","102.670","103.070","102.600","0.95K","0.54%"
"2003年1月6日","102.390","102.600","102.660","102.120","1.02K","-0.46%"
"2003年1月3日","102.860","103.360","103.560","102.720","0.88K","-0.59%"
"2003年1月2日","103.470","102.710","103.670","102.400","3.28K","1.18%"
"2002年12月31日","102.260","102.530","102.650","102.260","0.82K","-0.20%"
"2002年12月30日","102.460","102.830","102.930","102.440","2.02K","-0.31%"
"2002年12月27日","102.780","103.180","103.320","102.780","0.63K","-0.41%"
"2002年12月26日","103.200","103.350","103.550","103.180","0.88K","-0.46%"
"2002年12月24日","103.680","103.920","104.050","103.560","0.54K","-0.38%"
"2002年12月23日","104.080","103.620","104.480","103.520","1.30K","0.08%"
"2002年12月20日","104.000","103.940","104.120","103.900","0.44K","0.02%"
"2002年12月19日","103.980","104.090","104.480","103.820","1.18K","-0.12%"
"2002年12月18日","104.100","104.150","104.400","104.020","1.39K","0.10%"
"2002年12月17日","104.000","103.940","104.380","103.580","3.28K","-0.50%"
"2002年12月16日","104.520","104.330","104.780","104.340","1.24K","0.52%"
"2002年12月13日","103.980","104.320","104.420","103.940","1.01K","-0.53%"
"2002年12月12日","104.530","105.100","105.150","104.480","0.93K","-0.80%"
"2002年12月11日","105.370","105.300","105.560","105.270","3.12K","-0.03%"
"2002年12月10日","105.400","105.280","105.550","104.910","2.94K","0.12%"
"2002年12月9日","105.270","105.150","105.500","105.180","4.36K","-0.10%"
"2002年12月6日","105.380","106.020","106.150","104.950","4.11K","-0.76%"
"2002年12月5日","106.190","106.090","106.450","106.000","0.61K","-0.05%"
"2002年12月4日","106.240","106.030","106.280","105.870","1.17K","-0.19%"
"2002年12月3日","106.440","106.460","106.520","106.100","1.82K","-0.01%"
"2002年12月2日","106.450","106.590","107.380","106.280","4.92K","-0.05%"
"2002年11月29日","106.500","106.620","106.730","106.350","0.88K","-0.36%"
"2002年11月27日","106.890","106.610","107.100","106.600","1.60K","0.23%"
"2002年11月26日","106.650","106.610","106.850","106.400","0.55K","-0.04%"
"2002年11月25日","106.690","106.330","106.930","106.340","1.24K","0.39%"
"2002年11月22日","106.280","105.710","106.360","105.740","1.27K","0.33%"
"2002年11月21日","105.930","105.820","106.240","105.740","1.71K","-0.11%"
"2002年11月20日","106.050","105.880","106.210","105.720","0.88K","0.24%"
"2002年11月19日","105.800","105.240","106.070","104.850","2.40K","0.40%"
"2002年11月18日","105.380","105.240","105.500","105.250","0.32K","0.18%"
"2002年11月15日","105.190","105.510","105.770","105.100","0.96K","-0.22%"
"2002年11月14日","105.420","105.300","105.620","104.980","0.41K","0.14%"
"2002年11月13日","105.270","104.900","105.450","104.910","0.77K","0.43%"
